Gene symbol	Gene name	Transcript	Exons in transcript	CDS length
A1BG	alpha-1-B glycoprotein	NM_130786.4	8	1488
A1CF	APOBEC1 complementation factor	NM_001198819.2	15	1809
A2M	alpha-2-macroglobulin	NM_000014.6	36	4425
A2ML1	alpha-2-macroglobulin like 1	NM_144670.6	36	4365
A3GALT2	alpha 1,3-galactosyltransferase 2	NM_001080438.1	5	1023
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	NM_017436.7	3	1062
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	NM_016161.3	3	1023
AAAS	aladin WD repeat nucleoporin	NM_015665.6	16	1641
AACS	acetoacetyl-CoA synthetase	NM_023928.5	18	2019
AADAC	arylacetamide deacetylase	NM_001086.3	5	1200
AADACL2	arylacetamide deacetylase like 2	NM_207365.4	5	1206
AADACL3	arylacetamide deacetylase like 3	NM_001103170.3	4	1224
AADACL4	arylacetamide deacetylase like 4	NM_001013630.2	4	1224
AADAT	aminoadipate aminotransferase	NM_016228.4	13	1278
AAGAB	alpha and gamma adaptin binding protein	NM_024666.5	10	948
AAK1	AP2 associated kinase 1	NM_014911.5	22	2886
AAMDC	adipogenesis associated Mth938 domain containing	NM_001316957.3	6	444
AAMP	angio associated migratory cell protein	NM_001302545.2	11	1308
AANAT	aralkylamine N-acetyltransferase	NM_001088.3	4	624
AAR2	AAR2 splicing factor	NM_015511.5	4	1155
AARD	alanine and arginine rich domain containing protein	NM_001025357.3	2	468
AARS1	alanyl-tRNA synthetase 1	NM_001605.3	21	2907
AARS2	alanyl-tRNA synthetase 2, mitochondrial	NM_020745.4	22	2958
AARSD1	alanyl-tRNA synthetase domain containing 1	NM_001261434.2	12	1239
AASDH	aminoadipate-semialdehyde dehydrogenase	NM_181806.4	15	3297
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	NM_015423.3	6	930
AASS	aminoadipate-semialdehyde synthase	NM_005763.4	24	2781
AATF	apoptosis antagonizing transcription factor	NM_012138.4	12	1683
AATK	apoptosis associated tyrosine kinase	NM_001080395.3	14	4125
ABAT	4-aminobutyrate aminotransferase	NM_020686.6	16	1503
ABCA1	ATP binding cassette subfamily A member 1	NM_005502.4	50	6786
